,polarity_peak,Lipid.class,Lipid.species,fragmentation,adduct,other.mode,MZ.target,RT.data,init_peak,polarity,schiz_peak,healthy_predicted,rt_error,ppm_error,schiz_peak_WO_,corr_all,corr_HC,polarity_schiz_peak
138,negFT13120,PE_P,PE_P 37:2,PE(P-19:1_18:1). PE(P-18:1_19:1). PE(P-17:0_20:2),M-H,posFT29930,740.5605598,8.746519979,FT13120,neg,FT15379,FT13120,-0.0031785398133692,0.6886683546542528,FT15379,0.8915628984323805,0.9226473025843726,negFT15379
139,negFT13027,PE_P,PE_P 37:3,PE(P-17:0_20:3). PE(P-16:0_21:3),M-H,,738.5446493,8.055208842,FT13027,neg,FT15282,FT13027,-0.0071555284801956,0.6077632085695228,FT15282,0.84032184177425,0.8932250357840996,negFT15282
140,negFT12933,PE_P,PE_P 37:4,PE(P-18:0_19:4). PE(P-17:0_20:4),M-H,posFT29630,736.528867,7.637541707,FT12933,neg,FT15182,FT12933,-0.0025428840727768,0.6014233904251375,FT15182,0.6416022609862521,0.3667023337005898,negFT15182
141,negFT13789,PE_P,PE_P 38:1,PE(P-18:1_20:0). PE(P-18:0_20:1). PE(P-16:0_22:1),M-H,posFT30973,756.5915924,10.55562642,FT13789,neg,FT16196,FT13789,0.0304303903417668,0.4536559621075259,FT16196,0.8447565385881134,0.7614675472591111,negFT16196
142,negFT13720,PE_P,PE_P 38:2,PE(P-18:1_20:1),M-H,posFT30855,754.5761716,9.320163981,FT13720,neg,FT16112,FT13720,-0.0054758105190533,0.4856711261640704,FT16112,0.8868791487614942,0.907198208010742,negFT16112
143,negFT13722,PE_P,PE_P 38:2,PE(P-18:1_20:1). PE(P-20:1_18:1). PE(P-18:0_20:2). PE(P-16:0_22:2),M-H,posFT30860,754.5754644,9.625336202,FT13722,neg,FT16113,FT13722,-0.0005170462116979,-0.1079219627503152,FT16113,0.8491570178532322,0.8334692391107795,negFT16113
144,negFT14188,PE_P,PE_P 39:2,PE(P-18:1_21:1),M-H,posFT31885,768.5915545,9.978361003,FT14188,neg,FT16794,FT14188,0.0003805211212135,0.337116365430446,FT16794,0.8892308147018061,0.9021382091322772,negFT16794
145,negFT14039,PE_P,PE_P 39:4,PE(P-17:0_22:4),M-H,posFT31631,764.5602222,8.395646667,FT14039,neg,FT16590,FT14039,-0.0055036221541602,0.5432067696603616,FT16590,0.7453022729749343,0.6268546334862922,negFT16590
146,negFT14805,PE_P,PE_P 40:2,PE(P-18:1_22:1). PE(P-18:0_22:2),M-H,posFT32760,782.607115,10.69210612,FT14805,neg,FT17637,FT14805,-0.0174843477590975,0.3372447718794097,FT17637,0.8484846889111136,0.8499107652345929,negFT17637
147,negFT14742,PE_P,PE_P 40:3,PE(P-18:1_22:2),M-H,posFT32631,780.591189,9.523081462,FT14742,neg,FT17540,FT14742,-0.0035128943565396,0.0757828199170807,FT17540,0.7949375814365877,0.7505769238369233,negFT17540
148,negFT14743,PE_P,PE_P 40:3,PE(P-18:1_22:2). PE(P-18:0_22:3). PE(P-16:0_24:3),M-H,,780.5914784,9.700280762,FT14743,neg,FT17547,FT14743,0.0040319786228888,-1.4087867344410838,FT17547,0.7385830905012503,0.5681420622563268,negFT17547
149,negFT14741,PE_P,PE_P 40:3,PE(P-18:0_22:3),M-H,posFT32630,780.591541,10.0239268,FT14741,neg,FT17541,FT14741,0.002523610093009,0.269516204798294,FT17541,0.4967674493251524,0.86903634162932,negFT17541
151,negFT15742,PE_P,PE_P 42:4,PE(P-18:0_24:4). PE(P-20:1_22:3),M-H,posFT34630,806.6064851,10.06404165,FT15742,neg,FT18856,FT15742,0.0039054156498323,-0.2513421151907896,FT18856,0.7086546193654238,0.7079370948899447,negFT18856
152,negFT15517,PE_O,PE_O 42:7,PE(O-18:2_24:5),M-H,,802.5761831,8.055765279,FT15517,neg,FT18601,FT15517,-0.001339197780485,0.1098126752065817,FT18601,0.845112862565789,0.906908143975876,negFT18601
153,negFT14322,PE_P,PE_P 40:7,PE(P-18:1_22:6),M-H,posFT32122,772.5287791,6.970402527,FT14322,neg,FT16978,FT14322,0.0069784197584912,0.2944845035207148,FT16978,0.5604860037978859,0.6111679798470195,negFT16978
154,negFT14245,PE_P,PE_P 40:8,PE(P-18:2_22:6),M-H,,770.5134462,6.367770386,FT14245,neg,FT16876,FT14245,-0.0029641282912029,0.2379442650801894,FT16876,0.7748093386152336,0.7069307317427418,negFT16876
155,negFT15039,PE_P,PE_P 41:5,PE(P-19:1_22:4). PE(P-17:1_24:4),M-H,,790.5763704,8.523311615,FT15039,neg,FT17985,FT15039,-0.0050503847317298,0.913082801589892,FT17985,0.8281931385840889,0.8983702027293919,negFT17985
156,negFT14904,PE_P,PE_P 41:7,PE(P-19:1_22:6),M-H,,786.542139,7.445488485,FT14904,neg,FT17810,FT14904,-0.0010559906003786,0.204829615630857,FT17810,0.6144714773214247,0.6770260045227063,negFT17810
157,negFT15630,PE_O,PE_O 42:6,PE(O-18:2_24:4),M-H,posFT34494,804.5906928,8.898475138,FT15630,neg,FT18737,FT15630,-0.0100952799681319,0.6812576050858342,FT18737,0.7329782285718821,0.8876425291171393,negFT18737
158,negFT15631,PE_O,PE_O 42:6,PE(O-20:2_22:4). PE(O-18:2_24:4),M-H,posFT34493,804.5892388,9.11882019,FT15631,neg,FT18738,FT15631,-0.0017053397795478,-0.3211536913490802,FT18738,0.2962866845046972,0.5342036053217114,negFT18738
159,negFT15445,PE_P,PE_P 42:7,PE(P-18:1_24:6),M-H,,800.5615361,7.592894745,FT15445,neg,FT18484,FT15445,-0.0098254739968188,1.0406958209097397,FT18484,0.7294022455615407,0.7957217886042798,negFT18484
160,negFT12840,PC_P,PC_P 30:0,PC(P-16:0_14:0),M-H+FA,posFT26644,734.5343533,6.635095723,FT12840,neg,FT15077,FT12840,0.0013290435645219,0.582123459617951,FT15077,0.5518887727078654,0.6334951684615513,negFT15077
161,negFT13901,PC_P,PC_P 32:1,PC(P-18:1_14:0),M-H+FA,posFT28283,760.5493703,6.802324931,FT13901,neg,FT16383,FT13901,-0.0023900598627326,0.2655588218088645,FT16383,0.7493396502188199,0.9109230444703994,negFT16383
