,feature name,importance
85,6  Anterior Middle Temporal (BA37-aMT)_PC_P 40 5,4.5677939125581496e-05
86,18 1ary Somatosensory (BA3/1/2)_PC_P 32 1,4.523873140775565e-05
87,19 Posterior Middle Temporal (BA37-pMT)_HexCer d44 2,4.233415115216241e-05
88,8  Cingulate Posterior (BA23a)_PE 42 5,2.5026582500631535e-05
89,"32 Ventrolateral Prefrontal, Broca (BA44)_PC 37 2",2.5023394625214394e-05
90,18 1ary Somatosensory (BA3/1/2)_SM d44 2,2.5009354448470517e-05
91,74 Corpus Callosum Posterior_PE 35 1,2.5007331992626556e-05
92,72 Internal Capsule_PC_P 38 1,2.5004389154415926e-05
93,42 Cingulate Subcallosal (BA25)_SulfoHexCer d41 1,2.500156450697042e-05
94,68 Medial Dorsal Thalamus_DG 36 3,2.498906770103812e-05
95,46 Prefrontal Medial (BA10m)_Cer m42 2,2.498786303795308e-05
96,70 Ventral Lateral Thalamus_FA 22 3,2.49860448767226e-05
97,64 Globus Pallidus_TG 50 3,2.498577021640924e-05
98,17 1ary Visual Anterior (BA17a)_PE 35 1,2.4984713097107046e-05
99,70 Ventral Lateral Thalamus_LPE 18 1,2.4981454025693734e-05
100,30 Premotor Anterior Lateral (BA6a)_HexCer d36 1,2.4978678771122022e-05
101,3  Posterior Superior Parietal (BA7p)_FA 16 1,2.4978513960472577e-05
102,"28 2ary Auditory, Wernicke (BA22p)_PC_O 38 5",2.497769133493236e-05
103,39 Frontopolar (BA10fp)_LPE 20 2,2.497526788493143e-05
104,47 Cingulate Posterior (BA31)_PE 36 5,2.49746403597561e-05
105,46 Prefrontal Medial (BA10m)_PC 35 2,2.497386367283028e-05
106,"26 2ary Auditory, language (BA22a)_TG 52 2",2.4972853492298067e-05
107,68 Medial Dorsal Thalamus_PC_O 36 2,2.4971726800137972e-05
108,30 Premotor Anterior Lateral (BA6a)_SM d33 1,2.4971264684389307e-05
109,22 Premotor Medial (BA6m)_PC_P 30 0,2.4970936629812863e-05
110,22 Premotor Medial (BA6m)_PG 40 7,2.4970656984302315e-05
111,43 Temporopolar (BA38)_TG 54 4,2.4970072074438353e-05
112,17 1ary Visual Anterior (BA17a)_PE_P 36 4,2.496901866288707e-05
113,70 Ventral Lateral Thalamus_PG 40 7,2.4968713087525032e-05
114,75 Cerebellar White Matter_PC 46 5,2.496847414880152e-05
115,8  Cingulate Posterior (BA23a)_PE_O 38 4,2.49681867417039e-05
116,23 Insular Anterior Cortex_PC_O 36 2,2.4968176082801608e-05
117,70 Ventral Lateral Thalamus_FA 14 0,2.4966429787840894e-05
118,47 Cingulate Posterior (BA31)_FA 17 0,2.4966352624495387e-05
119,43 Temporopolar (BA38)_FA 24 6,2.4966107735096158e-05
120,23 Insular Anterior Cortex_PC 34 4,2.4965040336416474e-05
121,72 Internal Capsule_FA 26 1,2.4961360123647432e-05
122,38 Anterior Prefrontal (BA10)_PE 38 5,2.4818109382551534e-05
123,18 1ary Somatosensory (BA3/1/2)_SulfoHexCer t44 2,2.4687822885660527e-05
124,23 Insular Anterior Cortex_SM d34 0,2.4683675261651595e-05
125,42 Cingulate Subcallosal (BA25)_PC 38 6,2.4657880998026835e-05
126,72 Internal Capsule_FA 22 1,2.460352059018292e-05
127,10 2ary/3ary Visual Posterior (BA18/19p)_Cer m38 1,2.459773504257349e-05
128,63 Substantia Nigra_PC_O 30 0,2.457568954916569e-05
129,64 Globus Pallidus_PC_P 38 5,2.453811713364588e-05
130,72 Internal Capsule_PC 42 10,2.4536928150595362e-05
131,4  Anterior Superior Parietal (BA5/BA7a)_PC_O 38 1,2.446294454625757e-05
132,48 Cingulate Anterior (BA24)_PG 40 7,2.432493244763554e-05
133,63 Substantia Nigra_PE 40 4,2.4299420677690293e-05
134,34 Dorsolateral Prefrontal (BA9)_PE_P 37 1,2.4235449739586183e-05
135,"28 2ary Auditory, Wernicke (BA22p)_HexCer d36 1",2.4213562409776086e-05
136,68 Medial Dorsal Thalamus_PC 42 4,2.419358618957518e-05
137,44 Dorsolateral Prefrontal (BA46)_TG 56 5,2.4027368674630943e-05
138,10 2ary/3ary Visual Posterior (BA18/19p)_PE_P 36 5,2.396072940627398e-05
139,22 Premotor Medial (BA6m)_PE_P 34 2,2.3901879370629385e-05
140,19 Posterior Middle Temporal (BA37-pMT)_PC 46 3,2.3869006890186668e-05
141,22 Premotor Medial (BA6m)_TG 58 9,2.3866022965932966e-05
142,73 Corpus Callosum Anterior_Cer m44 1,2.376072945439424e-05
143,22 Premotor Medial (BA6m)_PE 38 6,2.338891856009882e-05
144,17 1ary Visual Anterior (BA17a)_TG 60 12,2.3336979736417156e-05
145,19 Posterior Middle Temporal (BA37-pMT)_PE 40 8,2.3223575144343454e-05
146,64 Globus Pallidus_DG 40 4,2.3086157539939043e-05
147,68 Medial Dorsal Thalamus_HexCer d42 1,2.3077500014423427e-05
148,56 Nucleus Accumbens_SM d34 0,2.29202479554097e-05
149,"28 2ary Auditory, Wernicke (BA22p)_CE 20 4",2.29202479554097e-05
150,34 Dorsolateral Prefrontal (BA9)_PC 42 4,2.251702850280525e-05
151,18 1ary Somatosensory (BA3/1/2)_HexCer t43 2,2.251551459677685e-05
152,17 1ary Visual Anterior (BA17a)_PC 44 2,2.2500000000000008e-05
153,4  Anterior Superior Parietal (BA5/BA7a)_LPE 24 4,2.222569498706396e-05
154,42 Cingulate Subcallosal (BA25)_TG 58 10,2.18886804252658e-05
155,34 Dorsolateral Prefrontal (BA9)_Cer m43 2,2.1446298134373127e-05
156,50 Orbitofrontal (BA11)_PC_P 37 1,2.084167000133387e-05
157,"65 Hippocampus, CA1_HexCer t43 2",2.083336588546753e-05
158,70 Ventral Lateral Thalamus_PI 38 5,0.02508071719273181
159,70 Ventral Lateral Thalamus_FA 22 5,0.02479320554635342
160,46 Prefrontal Medial (BA10m)_PC 38 5,0.022486716268827055
161,6  Anterior Middle Temporal (BA37-aMT)_CE 18 2,0.020144145317164037
162,18 1ary Somatosensory (BA3/1/2)_PE_P 33 1,0.019875141171857683
