,feature name,importance
109,44 Dorsolateral Prefrontal (BA46)_LPE 16 0,0.0
110,44 Dorsolateral Prefrontal (BA46)_PE_P 40 2,0.0
111,44 Dorsolateral Prefrontal (BA46)_LPE 18 0,0.0
112,44 Dorsolateral Prefrontal (BA46)_LPE 22 3,0.0
113,44 Dorsolateral Prefrontal (BA46)_PE_P 39 4,0.0
114,44 Dorsolateral Prefrontal (BA46)_PE_P 39 2,0.0
115,44 Dorsolateral Prefrontal (BA46)_PC 29 0,0.0
116,44 Dorsolateral Prefrontal (BA46)_PE_O 42 7,0.0
117,44 Dorsolateral Prefrontal (BA46)_PE_P 41 7,0.0
118,61 Pulvinar Thalamus_PC_P 38 6,0.0
119,61 Pulvinar Thalamus_LPE 16 0,0.0
120,61 Pulvinar Thalamus_PE_P 40 2,0.0
121,61 Pulvinar Thalamus_LPE 18 0,0.0
122,61 Pulvinar Thalamus_LPE 22 3,0.0
123,61 Pulvinar Thalamus_PE_P 39 4,0.0
124,22 Premotor Medial (BA6m)_PE_P 39 4,0.0
125,22 Premotor Medial (BA6m)_LPE 22 3,0.0
126,22 Premotor Medial (BA6m)_LPE 18 0,0.0
127,10 2ary/3ary Visual Posterior (BA18/19p)_PE_P 39 4,0.0
128,63 Substantia Nigra_PE_P 40 2,0.0
129,63 Substantia Nigra_LPE 18 0,0.0
130,63 Substantia Nigra_LPE 22 3,0.0
131,63 Substantia Nigra_PE_P 39 4,0.0
132,63 Substantia Nigra_PE_P 39 2,0.0
133,63 Substantia Nigra_PC 29 0,0.0
134,63 Substantia Nigra_PE_O 42 7,0.0
135,63 Substantia Nigra_PE_P 41 7,0.0
136,10 2ary/3ary Visual Posterior (BA18/19p)_PC_P 38 6,0.0
137,10 2ary/3ary Visual Posterior (BA18/19p)_LPE 16 0,0.0
138,10 2ary/3ary Visual Posterior (BA18/19p)_PE_P 40 2,0.0
139,10 2ary/3ary Visual Posterior (BA18/19p)_LPE 18 0,0.0
140,10 2ary/3ary Visual Posterior (BA18/19p)_LPE 22 3,0.0
141,10 2ary/3ary Visual Posterior (BA18/19p)_PE_P 39 2,0.0
142,22 Premotor Medial (BA6m)_PE_P 40 2,0.0
143,10 2ary/3ary Visual Posterior (BA18/19p)_PC 29 0,0.0
144,10 2ary/3ary Visual Posterior (BA18/19p)_PE_O 42 7,0.0
145,10 2ary/3ary Visual Posterior (BA18/19p)_PE_P 41 7,0.0
146,74 Corpus Callosum Posterior_PC_P 38 6,0.0
147,74 Corpus Callosum Posterior_LPE 16 0,0.0
148,74 Corpus Callosum Posterior_PE_P 40 2,0.0
149,74 Corpus Callosum Posterior_LPE 18 0,0.0
150,74 Corpus Callosum Posterior_LPE 22 3,0.0
151,74 Corpus Callosum Posterior_PE_P 39 4,0.0
152,74 Corpus Callosum Posterior_PE_P 39 2,0.0
153,74 Corpus Callosum Posterior_PC 29 0,0.0
154,74 Corpus Callosum Posterior_PE_O 42 7,0.0
155,74 Corpus Callosum Posterior_PE_P 41 7,0.0
156,63 Substantia Nigra_LPE 16 0,0.0
157,63 Substantia Nigra_PC_P 38 6,0.0
158,3  Posterior Superior Parietal (BA7p)_PE_P 41 7,0.0
159,3  Posterior Superior Parietal (BA7p)_PE_O 42 7,0.0
160,68 Medial Dorsal Thalamus_LPE 16 0,0.0
161,68 Medial Dorsal Thalamus_PE_P 40 2,0.0
162,68 Medial Dorsal Thalamus_LPE 18 0,0.0
163,68 Medial Dorsal Thalamus_LPE 22 3,0.0
164,68 Medial Dorsal Thalamus_PE_P 39 4,0.0
165,68 Medial Dorsal Thalamus_PE_P 39 2,0.0
166,68 Medial Dorsal Thalamus_PC 29 0,0.0
167,68 Medial Dorsal Thalamus_PE_O 42 7,0.0
168,68 Medial Dorsal Thalamus_PE_P 41 7,0.0
169,64 Globus Pallidus_PC_P 38 6,0.0
170,64 Globus Pallidus_LPE 16 0,0.0
171,64 Globus Pallidus_PE_P 40 2,0.0
172,64 Globus Pallidus_LPE 18 0,0.0
173,64 Globus Pallidus_LPE 22 3,0.0
174,64 Globus Pallidus_PE_P 39 4,0.0
175,64 Globus Pallidus_PE_P 39 2,0.0
176,64 Globus Pallidus_PC 29 0,0.0
177,64 Globus Pallidus_PE_O 42 7,0.0
178,64 Globus Pallidus_PE_P 41 7,0.0
179,3  Posterior Superior Parietal (BA7p)_PC_P 38 6,0.0
180,3  Posterior Superior Parietal (BA7p)_LPE 16 0,0.0
181,3  Posterior Superior Parietal (BA7p)_PE_P 40 2,0.0
182,3  Posterior Superior Parietal (BA7p)_LPE 18 0,0.0
183,3  Posterior Superior Parietal (BA7p)_LPE 22 3,0.0
184,3  Posterior Superior Parietal (BA7p)_PE_P 39 4,0.0
185,3  Posterior Superior Parietal (BA7p)_PE_P 39 2,0.0
186,3  Posterior Superior Parietal (BA7p)_PC 29 0,0.0
187,56 Nucleus Accumbens_PC_P 38 6,0.0
188,56 Nucleus Accumbens_LPE 16 0,0.0
189,56 Nucleus Accumbens_PE_P 40 2,0.0
190,23 Insular Anterior Cortex_LPE 18 0,0.0
191,23 Insular Anterior Cortex_PE_P 39 4,0.0
192,23 Insular Anterior Cortex_PE_P 39 2,0.0
193,23 Insular Anterior Cortex_PC 29 0,0.0
194,23 Insular Anterior Cortex_PE_O 42 7,0.0
195,23 Insular Anterior Cortex_PE_P 41 7,0.0
196,25 Posterior Inferior Temporal (BA20p)_PC_P 38 6,0.0
197,25 Posterior Inferior Temporal (BA20p)_LPE 16 0,0.0
198,25 Posterior Inferior Temporal (BA20p)_PE_P 40 2,0.0
199,25 Posterior Inferior Temporal (BA20p)_LPE 18 0,0.0
200,25 Posterior Inferior Temporal (BA20p)_LPE 22 3,0.0
201,25 Posterior Inferior Temporal (BA20p)_PE_P 39 4,0.0
202,25 Posterior Inferior Temporal (BA20p)_PE_P 39 2,0.0
203,25 Posterior Inferior Temporal (BA20p)_PC 29 0,0.0
204,25 Posterior Inferior Temporal (BA20p)_PE_O 42 7,0.0
205,25 Posterior Inferior Temporal (BA20p)_PE_P 41 7,0.0
206,16 1ary Auditory (BA41/42)_PC_P 38 6,0.0
207,16 1ary Auditory (BA41/42)_LPE 16 0,0.0
208,16 1ary Auditory (BA41/42)_PE_P 40 2,0.0
209,16 1ary Auditory (BA41/42)_LPE 18 0,0.0
210,16 1ary Auditory (BA41/42)_LPE 22 3,0.0
211,16 1ary Auditory (BA41/42)_PE_P 39 4,0.0
212,16 1ary Auditory (BA41/42)_PE_P 39 2,0.0
213,16 1ary Auditory (BA41/42)_PC 29 0,0.0
214,16 1ary Auditory (BA41/42)_PE_O 42 7,0.0
215,16 1ary Auditory (BA41/42)_PE_P 41 7,0.0
216,22 Premotor Medial (BA6m)_PC_P 38 6,0.0
217,22 Premotor Medial (BA6m)_LPE 16 0,0.0
218,23 Insular Anterior Cortex_LPE 22 3,0.0
219,23 Insular Anterior Cortex_PE_P 40 2,0.0
220,56 Nucleus Accumbens_LPE 18 0,0.0
221,23 Insular Anterior Cortex_LPE 16 0,0.0
222,56 Nucleus Accumbens_LPE 22 3,0.0
223,56 Nucleus Accumbens_PE_P 39 4,0.0
224,56 Nucleus Accumbens_PE_P 39 2,0.0
225,56 Nucleus Accumbens_PC 29 0,0.0
226,56 Nucleus Accumbens_PE_O 42 7,0.0
227,56 Nucleus Accumbens_PE_P 41 7,0.0
228,4  Anterior Superior Parietal (BA5/BA7a)_PC_P 38 6,0.0
229,4  Anterior Superior Parietal (BA5/BA7a)_LPE 16 0,0.0
230,4  Anterior Superior Parietal (BA5/BA7a)_PE_P 40 2,0.0
231,4  Anterior Superior Parietal (BA5/BA7a)_LPE 18 0,0.0
232,4  Anterior Superior Parietal (BA5/BA7a)_LPE 22 3,0.0
