,feature name,importance
230,PE_P 34 2,0.0
231,CE 18 1,0.0
232,PE 38 1,0.0
233,LPC 22 6,0.0
234,PE_P 36 4,0.0
235,PE 40 6,0.0
236,PC 28 0,0.0
237,LPC 22 4,0.0
238,SulfoHexCer t42 2,0.0
239,PE_P 37 1,0.0
240,PC 42 10,0.0
241,PC 38 5,0.0
242,TG 52 2,0.0
243,PC 30 0,0.0
244,PC_O 30 0,0.0
245,PC_P 38 2,0.0
246,PE 36 5,0.0
247,PC_O 38 6,0.0
248,PC 42 3,0.0
249,SM d40 1,0.0
250,PC 40 1,0.0
251,SM d36 1,0.0
252,PE 40 7,0.0
253,PC_O 34 0,0.0
254,PC 37 4,0.0
255,Cer d41 2,0.0
256,FA 22 7,0.0
257,FA 20 2,0.0
258,Cer m40 1,0.0
259,Cer d36 2,0.0
260,SM d33 1,0.0
261,SulfoHexCer t42 1,0.0
262,PC 46 5,0.0
263,PC 37 1,0.0
264,PE_P 32 1,0.0
265,LPE 20 2,0.0
266,PC 32 1,0.0
267,TG 58 7,0.0
268,TG 50 3,0.0
269,HexCer d36 1,0.0
270,PE 34 1,0.0
271,PE 34 3,0.0
272,SulfoHexCer d43 1,0.0
273,PC 38 3,0.0
274,PE 36 1,0.0
275,SM d44 2,0.0
276,PG 40 8,0.0
277,Cer d40 1,0.0
278,TG 58 6,0.0
279,DG 34 1,0.0
280,PE 39 6,0.0
281,TG 60 11,0.0
282,FA 16 1,0.0
283,PC 37 2,0.0
284,PC 33 2,0.0
285,PC_P 38 1,0.0
286,PG 42 10,0.0
287,DG 38 5,0.0
288,Cer d35 1,0.0
289,PE_O 40 4,0.0
290,PC_O 36 1,0.0
291,PC 35 4,0.0
292,LPE 22 6,0.0
293,TG 54 4,0.0
294,PE_O 42 7,0.0
295,PC_O 32 1,0.0
296,FA 17 0,0.0
297,PC_O 34 1,0.0
298,SM d41 2,0.0
299,LPC 20 3,0.0
300,FA 26 1,0.0
301,PE 39 4,0.0
302,PC 31 1,0.0
303,PC_P 40 2,0.0
304,PC_P 32 1,0.0
305,FA 17 1,0.0
306,SM d34 1,0.0
307,PC_O 32 0,0.0
308,SM d36 0,0.0
309,FA 24 6,0.0
310,PE 40 3,0.0
311,PE 38 2,0.0
312,FA 22 3,0.0
313,PI 38 4,0.0
314,PC 40 4,0.0
315,PC_O 34 2,0.0
316,PE_P 38 1,0.0
317,PS 40 5,0.0
